Kids_First_Biospecimen_ID	count_regions_high_conf	count_regions_low_conf	any_high_conf	any_low_conf
BS_F9ZTZ4YS	0	0	FALSE	FALSE
BS_FBJ516WW	0	0	FALSE	FALSE
BS_FBP5NZNR	0	0	FALSE	FALSE
BS_FCXEAPJ1	0	0	FALSE	FALSE
BS_FFD25TTK	0	0	FALSE	FALSE
BS_FG649AWK	0	0	FALSE	FALSE
BS_FHE6Z73G	0	0	FALSE	FALSE
BS_FHFVCQ41	0	0	FALSE	FALSE
BS_FK3B5SDH	0	0	FALSE	FALSE
BS_FKQ7F6D1	1	2	TRUE	TRUE
BS_FNF1TCSW	0	0	FALSE	FALSE
BS_FNM4BB83	0	0	FALSE	FALSE
BS_FQ2ZBMPA	0	0	FALSE	FALSE
BS_FT95T4YP	0	0	FALSE	FALSE
BS_FVYBGMG1	0	0	FALSE	FALSE
BS_FWCKP4X1	0	0	FALSE	FALSE
BS_FXDY881S	2	2	TRUE	TRUE
BS_FYJMNRGK	1	1	TRUE	TRUE
BS_G12HNXYX	0	0	FALSE	FALSE
BS_G16NM5WJ	1	1	TRUE	TRUE
BS_G2016BE5	0	0	FALSE	FALSE
BS_G4EX0H98	0	1	FALSE	TRUE
BS_G61CN2V0	0	1	FALSE	TRUE
BS_G9MQM1KK	0	0	FALSE	FALSE
BS_GAA327FP	1	1	TRUE	TRUE
BS_GCQEB05M	0	0	FALSE	FALSE
BS_GDPZN3SD	0	0	FALSE	FALSE
BS_GFS9JEE6	1	1	TRUE	TRUE
BS_GKN0B47F	2	2	TRUE	TRUE
BS_GKPVZXYP	0	2	FALSE	TRUE
BS_GMQZNQH8	0	0	FALSE	FALSE
BS_GRECE8Q9	0	0	FALSE	FALSE
BS_GRS3T427	0	0	FALSE	FALSE
BS_GS9JCK55	0	0	FALSE	FALSE
BS_GTAJFTTR	0	0	FALSE	FALSE
BS_GWPJKM7G	0	0	FALSE	FALSE
BS_GXACEYKB	0	0	FALSE	FALSE
BS_H0638GZT	0	0	FALSE	FALSE
BS_H1K33JVK	0	0	FALSE	FALSE
BS_H1MNXNHB	0	0	FALSE	FALSE
BS_H2K7XX4X	1	1	TRUE	TRUE
BS_H50HR85Y	0	0	FALSE	FALSE
BS_H83DTMT2	0	0	FALSE	FALSE
BS_H8E4K1DT	2	2	TRUE	TRUE
BS_H8MAKDRB	1	1	TRUE	TRUE
BS_H8NWA41N	0	0	FALSE	FALSE
BS_HBAKYKQM	0	0	FALSE	FALSE
BS_HC4T1EEP	0	0	FALSE	FALSE
BS_HJ95JNFN	0	0	FALSE	FALSE
BS_HM5N78GV	0	0	FALSE	FALSE
BS_HN8DE43A	0	1	FALSE	TRUE
BS_HNE6BPMH	0	0	FALSE	FALSE
BS_HPMX6CT4	0	0	FALSE	FALSE
BS_HQFNQHVW	0	0	FALSE	FALSE
BS_HSYF7G2D	0	0	FALSE	FALSE
BS_HTGDSPQA	0	0	FALSE	FALSE
BS_HW4J7JM8	0	0	FALSE	FALSE
BS_HYGK88B0	2	4	TRUE	TRUE
BS_HZHEF797	1	1	TRUE	TRUE
BS_HZNKSQ17	0	0	FALSE	FALSE
BS_HZV4WDTB	0	0	FALSE	FALSE
BS_J33YVP27	0	0	FALSE	FALSE
BS_J4E9SW51	0	0	FALSE	FALSE
BS_J5J0EA7Y	0	0	FALSE	FALSE
BS_J6VRW67C	0	0	FALSE	FALSE
BS_JB3J82ZK	0	0	FALSE	FALSE
BS_JBHQ6G3J	0	0	FALSE	FALSE
BS_JBY9S5D4	1	1	TRUE	TRUE
BS_JC2187NA	0	0	FALSE	FALSE
BS_JDMM2XG4	0	0	FALSE	FALSE
BS_JDS0SYST	0	0	FALSE	FALSE
BS_JHGFJR3D	0	0	FALSE	FALSE
BS_JJNSP29S	0	0	FALSE	FALSE
BS_JJWC13GG	0	0	FALSE	FALSE
BS_JJZPY3BG	0	0	FALSE	FALSE
BS_JK5GTHVG	1	2	TRUE	TRUE
BS_JM979K1M	0	0	FALSE	FALSE
BS_JNS7Q60A	0	0	FALSE	FALSE
BS_JQNF0FQP	0	0	FALSE	FALSE
BS_JSMAT49K	0	0	FALSE	FALSE
BS_JSNJZERZ	1	1	TRUE	TRUE
BS_JTBM5TSE	0	0	FALSE	FALSE
BS_JVTQD8HH	0	0	FALSE	FALSE
BS_JX1PK0VW	0	0	FALSE	FALSE
BS_K049HVGR	0	0	FALSE	FALSE
BS_K07KNTFY	2	2	TRUE	TRUE
BS_K3PPH522	0	0	FALSE	FALSE
BS_K3Y06EKR	1	1	TRUE	TRUE
BS_K3YT05M7	0	0	FALSE	FALSE
BS_K6A9Z04J	2	2	TRUE	TRUE
BS_K6BMXTW5	0	0	FALSE	FALSE
BS_K89V7JNJ	0	0	FALSE	FALSE
BS_KAD49R68	1	1	TRUE	TRUE
BS_KAZENYZE	0	0	FALSE	FALSE
BS_KB9GJDCS	0	0	FALSE	FALSE
BS_KBPBCWA0	0	0	FALSE	FALSE
BS_KCN7NG92	0	0	FALSE	FALSE
BS_KFRBXXV7	0	0	FALSE	FALSE
BS_KG1YMTA4	0	0	FALSE	FALSE
BS_KH0NFCWF	0	0	FALSE	FALSE
BS_KHSYAB3J	3	4	TRUE	TRUE
BS_KJQXZ8GK	0	1	FALSE	TRUE
BS_KJTW1RBN	0	0	FALSE	FALSE
BS_KKWQW01N	0	0	FALSE	FALSE
BS_KM878Y43	0	0	FALSE	FALSE
BS_KP0YNTAK	2	2	TRUE	TRUE
BS_KPWRDRFP	0	0	FALSE	FALSE
BS_KRYYDC2X	0	0	FALSE	FALSE
BS_KSHETTQC	0	0	FALSE	FALSE
BS_KSRYKCDE	0	0	FALSE	FALSE
BS_KT9H4B1N	0	0	FALSE	FALSE
BS_KV3XF9WV	1	1	TRUE	TRUE
BS_KVV3G6NP	0	0	FALSE	FALSE
BS_KVYCH9PB	0	0	FALSE	FALSE
BS_KXGJ1HMG	0	0	FALSE	FALSE
BS_KYG3H6C6	0	0	FALSE	FALSE
BS_KYPMZZSY	0	0	FALSE	FALSE
BS_KYPZRS4S	0	0	FALSE	FALSE
BS_M16CDR44	0	0	FALSE	FALSE
BS_M18CDDGK	1	1	TRUE	TRUE
BS_M1TDS9CT	0	0	FALSE	FALSE
BS_M1YHV93N	0	0	FALSE	FALSE
BS_M28HG0NT	0	0	FALSE	FALSE
BS_M2MSWKBC	0	0	FALSE	FALSE
BS_M4E4H6NG	1	1	TRUE	TRUE
BS_M5FM63EB	0	0	FALSE	FALSE
BS_M8EBKZDG	0	0	FALSE	FALSE
BS_M9YZK3SP	0	0	FALSE	FALSE
BS_MAVSJH2Y	0	0	FALSE	FALSE
BS_MDVMT75X	0	0	FALSE	FALSE
BS_MEPW36WF	2	2	TRUE	TRUE
BS_MFTAVQ5C	0	0	FALSE	FALSE
BS_MGBEMNYR	0	0	FALSE	FALSE
BS_MGY2V5N4	0	0	FALSE	FALSE
BS_MHT5C2AP	0	0	FALSE	FALSE
BS_MJJZJMTK	0	0	FALSE	FALSE
BS_MRX1SPFB	0	0	FALSE	FALSE
BS_MS87PMR7	0	0	FALSE	FALSE
BS_MSB1RDAJ	0	0	FALSE	FALSE
BS_MSGYZ69T	1	1	TRUE	TRUE
BS_MT5ZSRG4	0	0	FALSE	FALSE
BS_MVC1NCZX	1	1	TRUE	TRUE
BS_MW63FCZC	0	0	FALSE	FALSE
BS_MW6YMRBJ	0	0	FALSE	FALSE
BS_MW74GF38	0	0	FALSE	FALSE
BS_MWKJF6XH	0	0	FALSE	FALSE
BS_MWXDJFWW	0	0	FALSE	FALSE
BS_MWZCP1XW	1	1	TRUE	TRUE
BS_MZJJRDZF	2	3	TRUE	TRUE
BS_N0Z6V2YG	1	1	TRUE	TRUE
BS_N2JD3VX6	0	0	FALSE	FALSE
BS_N4B3WB8W	0	0	FALSE	FALSE
BS_N5VYY66W	0	0	FALSE	FALSE
BS_N8D9FH6M	0	0	FALSE	FALSE
BS_N8WXTFN4	0	0	FALSE	FALSE
BS_N9N1X78X	0	0	FALSE	FALSE
BS_NASADC3P	0	0	FALSE	FALSE
BS_NB509KST	0	0	FALSE	FALSE
BS_NDSWS9TS	0	0	FALSE	FALSE
BS_NEX92KQH	0	0	FALSE	FALSE
BS_NFT9VHMJ	1	1	TRUE	TRUE
BS_NG0CR0EP	0	0	FALSE	FALSE
BS_NHRNZRQV	0	0	FALSE	FALSE
BS_NJFK43N3	0	0	FALSE	FALSE
BS_NJV6A585	0	0	FALSE	FALSE
BS_NMJPX8VQ	0	0	FALSE	FALSE
BS_NNFDFAFM	0	0	FALSE	FALSE
BS_NS8G0465	1	2	TRUE	TRUE
BS_NTXHP7QR	0	0	FALSE	FALSE
BS_NWYBD9CA	1	1	TRUE	TRUE
